uniprot_description,count
Agmatine hydroxycinnamoyltransferase 1,1
Agmatine ureohydrolase,1
Akirin 2,1
Akr1c20 protein,1
Albicidin efflux pump domain protein,1
"Alanine racemase, putative",1
Alanine--glyoxylate aminotransferase 2,1
Alanine--glyoxylate aminotransferase 2 homolog 1 mitochondrial,1
"Alanine--glyoxylate aminotransferase 2 homolog 1, mitochondrial",1
"Alanine--glyoxylate aminotransferase 2 homolog 2, mitochondrial",1
"Alanine--glyoxylate aminotransferase 2 homolog 3, mitochondrial",1
Alanine--glyoxylate aminotransferase 2-like,1
Alanine--glyoxylate aminotransferase1,1
Alanine-alpha-ketoisovalerate (Or valine-pyruvate) transaminase,1
Alanine-glyoxylate aminotransferase,1
"Alanine-glyoxylate aminotransferase 2, mitochondrial, putative, expressed",1
"Alanine-tRNA ligase, putative (DUF760)",1
Alanine/arginine aminopeptidase,1
Alanyl-tRNA synthetase domain protein,1
Alanyl-tRNA synthetase-related protein,1
Alb1_-_putative,1
Alanine rich dehydrogenase domain protein,1
"Alanine racemase 2, putative",1
AlNc14C140G7234 protein,1
Alanine racemase 2,1
AlaDh PNT N and PALP and AlaDh PNT C domain conta ining protein,1
Alanine amino transferase8,1
"Alanine aminotransferase 1, mitochondrial",1
"Alanine aminotransferase 2, mitochondrial",1
Alanine aminotransferase 2-like,1
Alanine aminotransferase10,1
Alanine aminotransferase5,1
Alanine aminotransferase9,1
Alanine and glycine-rich protein-like,1
Alanine dehydrogenase 1,1
Alanine dehydrogenase 2,1
"Alanine dehydrogenase/PNT, N-terminal domain protein",1
Alanine dehydrogenase/pyridine nucleotide transhydrogenase,1
Alanine glycine permease,1
Alanine racemase 1,1
Agenet and bromo-adjacent homology (BAH) domain-containing protein,1
Age3p,1
Age2p,1
Aerotaxis receptor Aer,1
"Aerotaxis sensor receptor, flavoprotein",1
Aerotaxis transducer Aer2,1
"Afadin, adherens junction formation factor a",1
Afadin-_and_alpha_-actinin-Binding_-_putative,1
Afg1p,1
Afg3-like protein 2 (M41 family),1
AflN/ verA/ monooxygenase,1
AflYd/ sugR/ sugar regulator,1
Afp99p,1
Aftiphilin a,1
Aftiphilin b,1
"Aftiphilin, isoform E",1
Ag-1 blood stage membrane protein homologue,1
Ag1,1
Aga operon transcriptional repressor,1
Aerotaxis sensor receptor,1
Aerotaxis receptor,1
Age1p,1
Aerolysin-like protein,1
Adrenomedullin receptor,1
Adult cuticle protein 1,1
Adult cuticle protein 65Aa,1
Adult enhancer factor 1,1
Ady43A,1
"Ae-1 binding protein aebp2, putative",1
Ae1 protein,1
Ae3,1
Aerobic azoreductase,1
Aerobic cobaltochelatase subunit CobN,1
Aerobic coproporphyrinogen-III oxidase (DUF1218),1
Aerobic respiration control protein ArcA,1
Aerobic respiration control protein ArcA homolog,1
Aerobic respiration control sensor protein ArcB,1
Aerobic respiration control sensor protein ArcB homolog,1
Aga1p,1
Agamous-like 3 protein,1
Agamous-like MADS-box AGL8-like protein,1
Agamous-like MADS-box protein AGL1,1
Agamous-like MADS-box protein AGL63,1
Agamous-like MADS-box protein AGL65,1
Agamous-like MADS-box protein AGL66,1
Agamous-like MADS-box protein AGL70,1
Agamous-like MADS-box protein AGL75,1
Agamous-like MADS-box protein AGL81,1
Agamous-like MADS-box protein AGL82,1
Agamous-like MADS-box protein AGL86,1
Agamous-like MADS-box protein AGL9-like protein,1
Agamous-like MADS-box protein AGL90,1
Agamous-like MADS-box protein AGL92,1
Agamous-like MADS-box protein AGL93,1
Agamous-like MADS-box protein AGL97,1
Agamous-like6,1
Age-related maculopathy susceptibility protein 2,1
Agamous-like MADS-box protein AGL61,1
Agamous-like MADS-box protein AGL53,1
Agamous-like MADS-box protein AGL49,1
Agamous-like MADS-box protein AGL19,1
Agamous-like MADS-box protein AGL103,1
Agamous-like MADS-box protein AGL104,1
Agamous-like MADS-box protein AGL13,1
Agamous-like MADS-box protein AGL15,1
Agamous-like MADS-box protein AGL17,1
Agamous-like MADS-box protein AGL18,1
Agamous-like MADS-box protein AGL21,1
Agamous-like MADS-box protein AGL36,1
Agamous-like MADS-box protein AGL23,1
Agamous-like MADS-box protein AGL27,1
Agamous-like MADS-box protein AGL28,1
Agamous-like MADS-box protein AGL3,1
Agamous-like MADS-box protein AGL30,1
Agamous-like MADS-box protein AGL31,1
Alba domain containing protein,1
Albicidin resistance domain-containing protein,1
Aliphatic sulfonate ABC transporter substrate-binding protein,1
Aldo-keto reductase family 1 member B10,1
Aldo-keto reductase family 1 member C1,1
Aldo-keto reductase family 1 member C13,1
Aldo-keto reductase family 1 member C15,1
Aldo-keto reductase family 1 member C2,1
Aldo-keto reductase family 1 member C3,1
Aldo-keto reductase family 1 member C4,1
"Aldo-keto reductase family 1, member B1 (aldose reductase), tandem duplicate 1",1
"Aldo-keto reductase family 1, member B1 (aldose reductase), tandem duplicate 2",1
"Aldo-keto reductase family 1, member B10 (aldose reductase)",1
"Aldo-keto reductase family 1, member B8",1
"Aldo-keto reductase family 1, member C-like",1
"Aldo-keto reductase family 1, member C1",1
"Aldo-keto reductase family 1, member C12",1
"Aldo-keto reductase family 1, member C12-like 1",1
"Aldo-keto reductase family 1, member C13",1
Aldo-keto reductase family 1 member B15,1
Aldo-keto reductase family 1 member A1-B,1
Aldo-keto reductase family 4 member C11,1
Aldo-keto reductase family 1 member A1-A,1
Aldehyde oxidase3,1
Aldehyde oxidase4,1
Aldehyde oxidase5,1
Aldehyde oxidoreductase,1
Aldehyde oxidoreductase FAD-binding subunit PaoB,1
Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA,1
Aldehyde oxidoreductase molybdenum-binding subunit PaoC,1
Aldehyde reductase Ahr,1
"Aldehyde reductase Y, isoform D",1
Aldehyde reductase YahK,1
"Aldehyde reductase, putative",1
Aldehyde_reductase_-_putative,1
Aldo keto reductase,1
"Aldo-keto reductase 1B, isoform C",1
Aldo-keto reductase a,1
Aldo-keto reductase family 4 member C10,1
Aldo-keto reductase family 4 member C8,1
Albino or pale green mutant1,1
Aldoxime dehydratase,1
Alg9-like mannosyltransferase family,1
Alginate O-acetyltransferase,1
Alginate biosynthesis protein AlgA,1
Alginate biosynthesis protein AlgF,1
Alginate biosynthesis protein AlgK,1
Alginate biosynthesis protein AlgX,1
Alginate biosynthesis protein AlgZ/FimS,1
Alginate biosynthesis transcriptional regulatory protein AlgB,1
Alginate lyase,1
Alginate production protein AlgE,1
Alginate regulatory protein AlgP,1
"Alhambra, isoform P",1
Ali1p,1
"Alicorn, isoform A",1
Aliphatic amidase expression-regulating protein,1
Alfin-like-transcription factor 18,1
Aldose_1-epimerase_-_putative,1
"Aldo-keto reductase family 7, member A3 (aflatoxin aldehyde reductase)",1
Aldose sugar dehydrogenase YliI,1
Aldo-keto reductase-like protein,1
Aldo-keto reductase/ oxidoreductase,1
Aldo/keto reductase AKR1,1
Aldo/keto reductase family oxidoreductase,1
"Aldo/keto reductase family protein, putative, expressed",1
Aldolase and DGOK domain containing protein,1
Aldolase superfamily protein,1
"Aldose 1-epimerase family protein, expressed",1
Aldose 1-epimerase-like protein,1
Aldose epim domain containing protein,1
Aldose reductase A,1
Aldose reductase B,1
Aldose reductase C,1
Aldose reductase-related protein 1-like,1
Aldose reductase-related protein 2,1
Aldehyde oxidase2,1
Aldehyde oxidase1,1
Aldehyde oxidase/xanthine dehydrogenase molybdopterin binding protein,1
Alcohol dehydrogenase YqhD,1
Alcohol dehydrogenase class-P,1
Alcohol dehydrogenase domain protein,1
Alcohol dehydrogenase-like 1,1
Alcohol dehydrogenase-like 4,1
Alcohol dehydrogenase-like 5,1
Alcohol dehydrogenase-like 7,1
Alcohol dehydrogenase-related 31 kDa protein,1
Alcohol oxidase 1,1
Alcohol sulfotransferase,1
Alcohol sulfotransferase A,1
Alcohol/Ribitol Dehydrogenase family,1
Alcohol_dehydrogenase_-_putative,1
Alcohol_dehydrogenase_-_zinc-containing-like_protein,1
Alcohol_dehydrogenase_GroES-like_domain/Zinc-binding_dehydrogenase_-_putative,1
Alcohol_dehydrogenase_GroES-like_domain_containing_protein_-_putative,1
Alcohol dehydrogenase catalytic domain-containing protein,1
Alcohol dehydrogenase NADP+ A,1
Aldehyde oxidase small subunit,1
Alcohol dehydrogenase IV,1
Albumin b-32,1
Albumin domain-containing protein,1
Albumin superfamily member 1,1
Albumin-1,1
Alcohol O-acetyltransferase,1
Alcohol O-acetyltransferase 2,1
Alcohol dehydrogenase (Zn-dependent),1
Alcohol dehydrogenase 1A,1
Alcohol dehydrogenase 1C,1
"Alcohol dehydrogenase 2, putative, expressed",1
Alcohol dehydrogenase 6B (class V),1
Alcohol dehydrogenase 8a,1
Alcohol dehydrogenase 8b,1
Alcohol dehydrogenase B,1
Alcohol dehydrogenase GroES domain protein,1
"AldA, aldehyde dehydrogenase A",1
Ald_Xan_dh_C2 domain-containing protein,1
Aldedh domain containing protein,1
Aldehyde dehydrogenase (NAD(P)(+)),1
Aldehyde dehydrogenase family 3 comG,1
Aldehyde dehydrogenase family 3 member B3,1
Aldehyde dehydrogenase family 3 member F1,1
Aldehyde dehydrogenase family 3 member H1,1
"Aldehyde dehydrogenase family 3 member I1, chloroplastic",1
Aldehyde dehydrogenase family 8 member A1,1
"Aldehyde dehydrogenase type III, isoform Q",1
"Aldehyde dehydrogenase,putative",1
Aldehyde dehydrogenase2,1
Aldehyde dehydrogenase3,1
Aldehyde dehydrogenase5,1
Aldehyde oxidase,1
"Aldehyde oxidase 3, isoform A",1
Aldehyde oxidase 6,1
"Aldehyde oxidase and xanthine dehydrogenase, a/b hammerhead domain protein",1
"Aldehyde dehydrogenase family 2 member B7, mitochondrial",1
"Aldehyde dehydrogenase family 2 member B4, mitochondrial",1
Aldehyde dehydrogenase [NAD(P)+] 2,1
Aldehyde dehydrogenase 22A1,1
Aldehyde dehydrogenase 1 family member A3,1
"Aldehyde dehydrogenase 1 family, member A2",1
Aldehyde dehydrogenase 11,1
"Aldehyde dehydrogenase 16 family, member A1",1
"Aldehyde dehydrogenase 2 family member, tandem duplicate 1",1
"Aldehyde dehydrogenase 2 family member, tandem duplicate 2",1
"Aldehyde dehydrogenase 6 family, member A1",1
Aldehyde dehydrogenase [NAD(P)+] 1,1
Aldehyde dehydrogenase 7 family member A1,1
"Aldehyde dehydrogenase 7 family, member A1",1
"Aldehyde dehydrogenase 8 family, member A1",1
"Aldehyde dehydrogenase 9 family, member A1a, tandem duplicate 2",1
Aldehyde dehydrogenase ALDH2b,1
Aldehyde dehydrogenase B (Lactaldehyde dehydrogenase),1
Adrenomedullin b,1
Adrenomedullin 2a,1
Adrenomedullin,1
Adducin 3 (gamma) b,1
Adducin-related protein 1,1
Adducin-related protein C1289.14,1
Adenine aminohydrolase,1
Adenine deaminase dihydroorotase,1
"Adenine nucleotide transporter BT1, chloroplastic/amyloplastic/mitochondrial",1
"Adenine nucleotide transporter BT1, chloroplastic/mitochondrial",1
Adenine permease AdeP,1
Adenine permease AdeQ,1
"Adenine phosphoribosyltransferase 1, chloroplastic",1
Adenine phosphoribosyltransferase 3,1
Adenine phosphoribosyltransferase 4,1
Adenine phosphoribosyltransferase 5,1
"Adenine phosphoribosyltransferase-like protein, putative (DUF2358)",1
Adenine specific DNA methyltransferase (MFOKI),1
Adenine-specific methyltransferase,1
Adducin protein 1,1
Adducin 3 (gamma) a,1
Adenomatosis polyposis coli down-regulated 1-like,1
Adducin 2 (beta),1
Adaptor complexe medium subunit family protein,1
Adaptor complexes medium subunit family protein,1
"Adaptor protein complex 1, mu subunit",1
"Adaptor protein complex 2, mu subunit, isoform A",1
Adaptor protein complex AP-3 small chain sigma3,1
"Adaptor protein, phosphotyrosine interaction, PH domain and leucine zipper-containing 2",1
"Adaptor protein, phosphotyrosine-interacting with PH domain and leucine zipper 1",1
Adaptor-related protein complex,1
Adaptor-related protein complex 1 subunit mu 3,1
Adaptor-related protein complex 3 subunit beta 1a,1
Adaptor-related protein complex 5 subunit zeta 1,1
Adcyap1a protein,1
Adcyap1b protein,1
Addiction module antitoxin,1
Addiction module protein,1
Adenine/cytosine DNA methyltransferase,1
Adenomatous polyposis coli 2,1
Adrenoleukodystrophy protein,1
Adenosine deaminase RNA-specific,1
Adenosine deaminase RNA-specific B1b,1
Adenosine deaminase RNA-specific B2 (inactive),1
Adenosine deaminase domain-containing 1 (testis-specific),1
Adenosine deaminase tRNA-specific 1,1
"Adenosine deaminase, tRNA-specific",1
"Adenosine deaminase, tRNA-specific 1",1
"Adenosine deaminase, tRNA-specific 2",1
Adenosine deaminase-like,1
"Adenosine diphosphatase, putative",1
Adenosine kinase 1,1
Adenosine kinase 2,1
Adenosine receptor A2,1
Adenosine receptor A2c,1
"Adenosine receptor, isoform A",1
"Adenosine transporter 1, putative",1
Adenosine deaminase RNA-specific B1a,1
Adenosine deaminase CECR1,1
Adenomatous polyposis coli protein,1
"Adenosine deaminase ADR-1C, putative",1
Adenomatous polyposis coli protein-related protein 1,1
Adenosine 3' phospho 5' phosphosulfate,1
Adenosine 5'-monophosphoramidase,1
Adenosine 5'-phosphosulfate reductase 3,1
Adenosine 5'-phosphosulfate reductase 4,1
Adenosine 5'-phosphosulfate reductase 5,1
Adenosine 5'-phosphosulfate reductase 8,1
Adenosine 5'-phosphosulfate reductase-like1,1
Adenosine 5'-phosphosulfate reductase-like2,1
Adenosine 5'-phosphosulfate reductase-like7,1
Adenosine 5'-phosphosulfate reductase6,1
Adenosine A2a receptor b,1
Adenosine A2b receptor,1
Adenosine A4 receptor a,1
Adenosine deaminase 2-A,1
Adaptin-related protein-like protein,1
"Adaptin or adaptin-related protein protein 8, putative",1
Adaptin medium chain homolog APM2,1
Acyl-coenzyme A thioesterase 3,1
Acyl-coenzyme A thioesterase 6,1
Acyl-coenzyme A thioesterase PaaI,1
Acyl-coenzyme A:Isopenicillin N acyltransferase,1
Acyl-coenzyme_a_dehydrogenase_-_putative,1
Acyl-homoserine lactone acylase PvdQ,1
Acyl-homoserine lactone acylase QuiP,1
Acyl-lipid (8-3)-desaturase B,1
Acyl-lipid omega-3 desaturase (Cytochrome b5) endoplasmic reticulum,1
"Acyl-lipid omega-3 desaturase (cytochrome b5), endoplasmic reticulum",1
Acyl-phosphate glycerol 3-phosphate acyltransferase,1
Acyl-protein thioesterase 1 homolog 1,1
Acyl-protein thioesterase 1 homolog 2,1
Acyl_transferase-like_protein_-_putative,1
Acylamino-acid-releasing enzyme 1,1
Acylamino-acid-releasing enzyme 2,1
Acyl-coenzyme A thioesterase 5,1
"Acyl-coenzyme A thioesterase 10, mitochondrial",1
"Adaptin ear-binding coat-associated protein 2, putative, expressed",1
"Acyl-coenzyme A synthetase ACSM6, mitochondrial",1
"Acyl-coa dehydrogenase, putative",1
Acyl-coenzyme A diphosphatase SCS3,1
Acyl-coenzyme A diphosphatase YFT2,1
Acyl-coenzyme A diphosphatase fit1,1
"Acyl-coenzyme A oxidase 2, peroxisomal",1
"Acyl-coenzyme A oxidase 3, peroxisomal",1
"Acyl-coenzyme A oxidase 4, peroxisomal",1
Acyl-coenzyme A oxidase acox-1.1,1
Acyl-coenzyme A oxidase acox-1.2,1
Acyl-coenzyme A oxidase acox-1.3,1
Acyl-coenzyme A oxidase acox-1.4,1
Acyl-coenzyme A oxidase acox-3,1
"Acyl-coenzyme A synthetase ACSM2A, mitochondrial",1
"Acyl-coenzyme A synthetase ACSM2B, mitochondrial",1
Acyl-coenzyme A synthetase ACSM5,1
Acylaminoacyl-peptidase1,1
"Acylated pleckstrin-homology domain-containing protein, putative",1
Acylglycerol kinase,1
Acylglycerol lipase,1
Ada histone acetyltransferase complex component,1
Ada2a-containing complex component 1,1
Ada2a-containing complex component 2,1
"Ada2a-containing complex component 3, isoform D",1
AdaPTin or adaptin-related protein,1
Adaecp,1
Adagio protein 2,1
Adagio-like protein 1,1
Adagio-like protein 3,1
Adam 28,1
"Adapter molecule crk, putative",1
Adapter protein CIKS,1
Adapter protein unc-53,1
Adaptin,1
Adaptin ear-binding coat-associated protein 1 NECAP-1,1
Acyltrehalose exporter MmpL10,1
"Acyltransferase-like protein, copy 2",1
"Acyltransferase-like protein, copy 1",1
Acylphosphatase-like protein MJ1331,1
Acylglycerone-phosphate reductase,1
Acylneuraminate cytidylyltransferase,1
Acylneuraminate cytidylyltransferase family protein,1
"Acylphosphatase 1, erythrocyte (common) type",1
Acylphosphatase-like protein MJ0553,1
Acylphosphatase-like protein MJ0809,1
Acylphosphatase-like protein MJ1405,1
"Acyltransferase-like protein At3g26840, chloroplastic",1
Acyltransferase 3 domain protein,1
Acyltransferase PapA3,1
Acyltransferase domain protein,1
"Acyltransferase family protein, expressed",1
Acyltransferase papA1 domain protein,1
"Acyltransferase-like protein At1g54570, chloroplastic",1
Adenosine-5'-phosphosulfate kinase,1
Adenosine/AMP deaminase,1
Adenosinetriphosphatase,1
Adhesion G protein-coupled receptor G2a,1
Adhesion G protein-coupled receptor G4a,1
Adhesion G protein-coupled receptor G4b,1
Adhesion G protein-coupled receptor G5,1
Adhesion G protein-coupled receptor G6,1
Adhesion G protein-coupled receptor G7,1
"Adhesion G protein-coupled receptor G7, tandem duplicate 2",1
Adhesion G protein-coupled receptor L1a,1
Adhesion G protein-coupled receptor L2a,1
"Adhesion G protein-coupled receptor L2b, tandem duplicate 1",1
Adhesion G protein-coupled receptor L3.1,1
Adhesion G-protein coupled receptor D2,1
Adhesion and penetration protein autotransporter,1
Adhesion defective protein 2,1
Adhesion defective protein 3,1
Adhesion molecule with Ig-like domain 1,1
Adhesion G protein-coupled receptor G4,1
Adhesion G protein-coupled receptor G11,1
Adhesion G protein-coupled receptor E16,1
Adhesion G protein-coupled receptor G1,1
Adhesion G protein-coupled receptor E3,1
Adhesion G protein-coupled receptor E5a,1
"Adhesion G protein-coupled receptor E5b, duplicate 2",1
"Adhesion G protein-coupled receptor E5b, duplicate 3",1
Adhesion G protein-coupled receptor E6,1
Adhesion G protein-coupled receptor E7,1
Adhesion G protein-coupled receptor E8,1
Adhesion G protein-coupled receptor E9,1
Adhesion G protein-coupled receptor F11,1
Adhesion G protein-coupled receptor F3,1
Adhesion G protein-coupled receptor F3a,1
Adhesion G protein-coupled receptor F3b,1
Adhesion G protein-coupled receptor F6,1
Adhesion G protein-coupled receptor F7,1
Adhesion G protein-coupled receptor F8,1
Adhesion molecule with Ig-like domain 3,1
Adhesive protein CupB5,1
Adhesive/proline-rich-like protein,1
Adipocyte fatty acid-binding protein,1
Adora3 protein,1
Adp ribosylation factor,1
Adr-2-binding protein 1,1
"Adrenergic, beta-1-, receptor",1
Adrenoceptor alpha 1Aa,1
Adrenoceptor alpha 1Ab,1
"Adrenoceptor beta 2, surface a",1
Adrenoceptor beta 3a,1
Adrenoceptor beta 3b,1
Adrenocortical dysplasia protein,1
Adrenodoxin,1
"Adrenodoxin homolog, mitochondrial",1
"Adrenodoxin protein, mitochondrial like",1
Adrenodoxin-like protein 2 mitochondrial,1
"Adrenodoxin-type ferredoxin, putative",1
AdoMet_dependent_proline_di-methyltransferase/O-methyltransferase /Methyltransferase_domain_containing_protein_-_putative,1
AdoMet-dependent rRNA methyltransferase spb1,1
Adipose protein,1
Adipokinetic hormone receptor,1
Adipocyte-related X-chromosome expressed sequence 1,1
Adipocyte-related X-chromosome expressed sequence 2,1
Adipogenesis regulatory factor,1
"Adipogenesis-associated, Mth938 domain-containing",1
Adipogenin-like,1
Adipokinetic hormone,1
"Adipokinetic hormone receptor, isoform C",1
"Adiponectin, C1Q and collagen domain-containing, b",1
